Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
1,adjust_pH,Field_9,Rover0,0,1.5
2,adjust_pH,Field_19,Rover0,1.95,19.8
3,adjust_pH,Field_23,Rover0,20.25,34.65
4,restore_humidity,Field_1,Rover0,75.65,123.3
5,restore_humidity,Field_17,Rover0,212.65,232.1
6,visit_scan,Field_0,Rover0,234.95,271.3
7,visit_scan,Field_1,Rover0,271.75,275.15
8,visit_scan,Field_2,Rover0,275.6,353.2
9,visit_scan,Field_3,Rover0,353.65,357.5
10,visit_scan,Field_4,Rover0,357.95,361.85
11,visit_scan,Field_5,Rover0,362.3,376.35
12,visit_scan,Field_6,Rover0,376.8,380.35
13,visit_scan,Field_7,Rover0,380.8,384.8
14,visit_scan,Field_8,Rover0,385.25,388.95
15,visit_scan,Field_9,Rover0,389.4,393.25
16,visit_scan,Field_10,Rover0,393.7,506.15
17,visit_scan,Field_11,Rover0,506.6,510.45
18,visit_scan,Field_12,Rover0,510.9,520.85
19,visit_scan,Field_13,Rover0,521.3,525
20,visit_scan,Field_14,Rover0,525.45,539.35
43,restore_humidity,Field_13,Rover0,539.8,658.5
21,visit_scan,Field_15,Rover0,658.95,669.45
22,visit_scan,Field_16,Rover0,669.9,673.3
23,visit_scan,Field_17,Rover0,673.75,678.05
24,visit_scan,Field_18,Rover0,678.5,682.2
25,visit_scan,Field_19,Rover0,682.65,696.25
49,restore_humidity,Field_18,Rover0,696.7,819.5
26,visit_scan,Field_20,Rover0,819.95,831
27,visit_scan,Field_21,Rover0,831.45,835
28,visit_scan,Field_22,Rover0,835.45,839.8
53,restore_humidity,Field_21,Rover0,840.25,844.6
29,visit_scan,Field_23,Rover0,845.05,851.75
30,visit_scan,Field_0,Rover0,852.2,983.8
31,visit_scan,Field_1,Rover0,984.25,988.15
32,visit_scan,Field_2,Rover0,988.6,992.3
33,visit_scan,Field_3,Rover0,992.75,996.45
34,visit_scan,Field_4,Rover0,996.9,1000.8
59,restore_humidity,Field_2,Rover0,1001.25,1008.9
60,restore_humidity,Field_3,Rover0,1009.35,1013.85
61,restore_humidity,Field_4,Rover0,1014.3,1018.8
35,visit_scan,Field_5,Rover0,1019.25,1144.9
36,visit_scan,Field_6,Rover0,1145.35,1148.9
66,restore_humidity,Field_6,Rover0,1149.35,1150.9
37,visit_scan,Field_7,Rover0,1151.35,1154.95
38,visit_scan,Field_8,Rover0,1155.4,1159.55
68,restore_humidity,Field_7,Rover0,1160,1164.25
39,visit_scan,Field_9,Rover0,1164.7,1171.25
40,visit_scan,Field_10,Rover0,1171.7,1186.3
71,restore_humidity,Field_9,Rover0,1186.75,1315.2
41,visit_scan,Field_11,Rover0,1315.65,1327.5
42,visit_scan,Field_12,Rover0,1327.95,1335.55
44,visit_scan,Field_14,Rover0,1336,1349.45
45,visit_scan,Field_13,Rover0,1349.9,1475.55
76,restore_humidity,Field_14,Rover0,1476,1491.4
46,visit_scan,Field_15,Rover0,1491.85,1495.55
47,visit_scan,Field_16,Rover0,1496,1499.8
48,visit_scan,Field_17,Rover0,1500.25,1504.05
50,visit_scan,Field_19,Rover0,1504.5,1515.1
51,visit_scan,Field_18,Rover0,1515.55,1641.4
82,restore_humidity,Field_19,Rover0,1641.85,1656.5
52,visit_scan,Field_20,Rover0,1656.95,1660.35
54,visit_scan,Field_22,Rover0,1660.8,1667.95
55,visit_scan,Field_21,Rover0,1668.4,1671.8
56,visit_scan,Field_23,Rover0,1672.25,1679.25
57,visit_scan,Field_0,Rover0,1679.7,1817.75
58,visit_scan,Field_1,Rover0,1818.2,1822.05
