Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
2,explore_point,explore_point_-5.0_-4.5,Rover1,0.0,19.850000000000147
4,explore_point,explore_point_-5.0_-3.5,Rover1,20.400000000000155,26.100000000000236
5,explore_point,explore_point_-5.0_-3.0,Rover1,26.650000000000244,31.35000000000031
3,explore_point,explore_point_-5.0_-4.0,Rover2,0.0,35.250000000000135
6,explore_point,explore_point_-5.0_-2.5,Rover1,31.90000000000032,36.45000000000007
8,explore_point,explore_point_-5.0_-1.5,Rover1,37.000000000000036,44.49999999999961
9,explore_point,explore_point_-5.0_-1.0,Rover1,45.04999999999958,48.949999999999356
7,explore_point,explore_point_-5.0_-2.0,Rover2,35.800000000000104,51.04999999999924
10,explore_point,explore_point_-5.0_-0.5,Rover1,49.499999999999325,55.849999999998964
12,explore_point,explore_point_-5.0_0.5,Rover1,56.39999999999893,63.899999999998506
11,explore_point,explore_point_-5.0_0.0,Rover2,51.599999999999206,71.0999999999981
13,explore_point,explore_point_-5.0_1.0,Rover1,64.39999999999849,131.84999999999573
1,explore_point,explore_point_-5.0_-5.0,Rover0,0.0,133.049999999996
15,explore_point,explore_point_-5.0_2.0,Rover1,132.39999999999586,140.29999999999765
14,explore_point,explore_point_-5.0_1.5,Rover2,71.54999999999808,140.69999999999774
17,explore_point,explore_point_-5.0_3.0,Rover1,141.19999999999786,148.64999999999955
18,explore_point,explore_point_-5.0_3.5,Rover2,141.19999999999786,156.90000000000143
19,explore_point,explore_point_-5.0_4.0,Rover1,149.19999999999968,157.40000000000154
20,explore_point,explore_point_-5.0_4.5,Rover2,157.80000000000163,164.2500000000031
21,explore_point,explore_point_-5.0_5.0,Rover1,157.90000000000165,166.0500000000035
16,explore_point,explore_point_-5.0_2.5,Rover0,133.59999999999613,347.3500000000447
22,explore_point,explore_point_-4.5_-5.0,Rover2,164.80000000000322,363.1000000000483
25,explore_point,explore_point_-4.5_-3.5,Rover2,363.6500000000484,373.55000000005066
26,explore_point,explore_point_-4.5_-3.0,Rover2,374.1000000000508,378.00000000005167
23,explore_point,explore_point_-4.5_-4.5,Rover1,166.60000000000363,381.2000000000524
27,explore_point,explore_point_-4.5_-2.5,Rover2,378.5500000000518,383.70000000005297
29,explore_point,explore_point_-4.5_-1.5,Rover2,384.2500000000531,599.5500000000025
24,explore_point,explore_point_-4.5_-4.0,Rover0,347.9000000000448,601.100000000001
30,explore_point,explore_point_-4.5_-1.0,Rover2,600.100000000002,604.6499999999978
28,explore_point,explore_point_-4.5_-2.0,Rover1,381.7500000000525,608.6499999999942
32,explore_point,explore_point_-4.5_0.0,Rover2,605.1999999999973,613.3499999999899
34,explore_point,explore_point_-4.5_1.0,Rover2,613.8999999999894,621.3999999999826
35,explore_point,explore_point_-4.5_1.5,Rover2,621.9499999999821,626.449999999978
31,explore_point,explore_point_-4.5_-0.5,Rover0,601.6500000000005,627.3999999999771
33,explore_point,explore_point_-4.5_0.5,Rover1,609.1999999999937,628.8999999999758
36,explore_point,explore_point_-4.5_2.0,Rover2,627.3499999999772,632.7999999999722
39,explore_point,explore_point_-4.5_3.5,Rover2,633.3499999999717,659.4999999999479
40,explore_point,explore_point_-4.5_4.0,Rover2,659.9499999999475,662.0499999999456
41,explore_point,explore_point_-4.5_4.5,Rover2,662.4999999999452,664.6999999999432
42,explore_point,explore_point_-4.5_5.0,Rover2,665.1499999999428,842.0499999997819
38,explore_point,explore_point_-4.5_3.0,Rover1,629.4499999999753,843.6499999997804
